"","PointName","DaysAfterN","BACS.PA","AREA","Route","Observer","TIME","Temp","Wind","Cloud","pcode","dsb"
"15.579","K2",5235,1,0,"LK",4,504,63,3,100,"15","412"
"15.580","K2",5593,0,0,"LK",4,514,56,2,0,"15","770"
"15.581","K2",5594,0,0,"LK",13,622,67,5,5,"15","771"
"15.582","K2",5597,0,0,"LK",12,445,65,0,80,"15","774"
"15.583","K2",5969,1,0,"LK",1,476,62,0,0,"15","1146"
"15.584","K2",5972,0,0,"LK",5,446,62,4,0,"15","1149"
"16.609","K22",3042,0,0,"LK",7,669,82,10,0,"16","836"
"16.610","K22",3044,1,0,"LK",7,438,61,3,0,"16","838"
"16.611","K22",3052,1,0,"LK",7,638,73,1,90,"16","846"
"16.612","K22",3400,0,0,"LK",3,611,68.6,5,95,"16","1194"
"16.613","K22",3404,1,0,"LK",3,421,65,0,0,"16","1198"
"16.614","K22",3408,1,0,"LK",3,603,63.1,1,0,"16","1202"
"16.615","K22",3770,0,0,"LK",11,647,76,2,0,"16","1564"
"16.616","K22",3772,0,0,"LK",11,422,60,0,0,"16","1566"
"16.617","K22",3774,0,0,"LK",11,615,71,4,0,"16","1568"
"16.618","K22",4135,1,0,"LK",11,498,63,5,0,"16","1929"
"16.619","K22",4137,1,0,"LK",11,521,63,1,5,"16","1931"
"16.620","K22",4143,1,0,"LK",11,455,68,0,100,"16","1937"
"16.621","K22",4502,0,0,"LK",4,601,72,2,10,"16","2296"
"16.622","K22",4505,1,0,"LK",11,417,59,0,20,"16","2299"
"16.623","K22",4506,1,0,"LK",4,380,64,2,100,"16","2300"
"16.624","K22",4869,0,0,"LK",11,576,68,2.5,100,"16","2663"
"16.625","K22",4871,1,0,"LK",16,635,79,7,0,"16","2665"
"16.626","K22",4872,1,0,"LK",16,477,68,0,0,"16","2666"
"16.627","K22",5227,0,0,"LK",11,615,53,3,100,"16","3021"
"16.628","K22",5229,0,0,"LK",16,595,65,8,30,"16","3023"
"16.629","K22",5237,0,0,"LK",4,519,58,4,35,"16","3031"
"16.630","K22",5593,0,0,"LK",4,660,65,1,0,"16","23"
"16.631","K22",5594,0,0,"LK",13,488,54,2,0,"16","24"
"16.632","K22",5597,1,0,"LK",12,602,69,0,80,"16","27"
"16.633","K22",5969,0,0,"LK",1,388,55,0,0,"16","399"
"16.634","K22",5972,0,0,"LK",5,596,70,4,15,"16","402"
"17.712","K6",3042,0,0,"LK",7,440,63,0,0,"17","425"
"17.713","K6",3044,0,0,"LK",7,634,75,3,0,"17","427"
"17.714","K6",3052,0,0,"LK",7,427,64,0,100,"17","435"
"17.715","K6",3400,1,0,"LK",3,426,60.7,1,100,"17","6"
"17.716","K6",3404,1,0,"LK",3,591,80.2,1,0,"17","10"
"17.717","K6",3408,0,0,"LK",3,421,39.2,0,0,"17","14"
"17.718","K6",3770,0,0,"LK",11,432,60,0,0,"17","376"
"17.719","K6",3772,0,0,"LK",11,585,72,6,0,"17","378"
"17.720","K6",3774,0,0,"LK",11,432,62,1,0,"17","380"
"17.721","K6",4135,0,0,"LK",11,422,57,0,0,"17","39"
"17.722","K6",4137,0,0,"LK",11,611,68,0,0,"17","41"
"17.723","K6",4143,0,0,"LK",11,422,68,0,100,"17","47"
"17.724","K6",4499,0,0,"LK",4,568,75,0,75,"17","403"
"17.725","K6",4505,0,0,"LK",11,492,62,0,20,"17","409"
"17.726","K6",4506,1,0,"LK",4,480,70,5,0,"17","410"
"17.727","K6",4869,0,0,"LK",11,469,68,0,100,"17","28"
"17.728","K6",4871,0,0,"LK",16,550,68,8,5,"17","30"
"17.729","K6",4872,0,0,"LK",16,600,72,3,0,"17","31"
"17.730","K6",5227,1,0,"LK",11,479,50,8,100,"17","386"
"17.731","K6",5229,1,0,"LK",16,520,60,4,90,"17","388"
"17.732","K6",5235,0,0,"LK",4,518,63,2,100,"17","394"
"17.733","K6",5593,0,0,"LK",4,525,57,3,0,"17","752"
"17.734","K6",5594,0,0,"LK",13,609,64,3,5,"17","753"
"17.735","K6",5597,0,0,"LK",12,456,65,0,80,"17","756"
"17.736","K6",5969,0,0,"LK",1,465,62,0,0,"17","50"
"17.737","K6",5972,0,0,"LK",5,461,62,1,0,"17","53"
"18.738","K7",3042,0,0,"LK",7,456,64,0,0,"18","1141"
"18.739","K7",3044,0,0,"LK",7,620,73,2,0,"18","1143"
"18.740","K7",3052,0,0,"LK",7,442,64,0,100,"18","1151"
"18.741","K7",3400,0,0,"LK",3,451,59.4,1,100,"18","334"
"18.742","K7",3404,0,0,"LK",3,580,79,2,0,"18","338"
"18.743","K7",3408,0,0,"LK",3,441,41.7,0,0,"18","342"
"18.744","K7",3770,0,0,"LK",11,460,61,0,0,"18","47"
"18.745","K7",3772,0,0,"LK",11,563,70,4,0,"18","49"
