Name Year Run,TotalBACS
K10 2012 3,1
K10 2013 1,0
K10 2013 2,0
K10 2013 3,0
K10 2014 1,0
K10 2014 2,1
K10 2014 3,2
K10 2015 1,0
K10 2015 2,0
K11 2006 1,1
K11 2006 2,0
K11 2006 3,1
K11 2006 4,1
K11 2007 1,0
K11 2007 2,0
K11 2007 3,0
K11 2008 1,1
K11 2008 2,1
K11 2008 3,0
K11 2009 1,0
K11 2009 2,0
K11 2009 3,0
K12 2006 1,1
K12 2006 2,1
K12 2006 3,0
K12 2006 4,1
K12 2006 5,0
K12 2007 1,0
K12 2007 2,0
K12 2007 3,0
K12 2008 1,0
K12 2008 2,0
K12 2008 3,1
K12 2009 1,0
K12 2009 2,0
K12 2009 3,0
K12 2010 1,0
K12 2010 2,0
K12 2010 3,0
K12 2011 1,0
K12 2011 2,0
K12 2011 3,0
K12 2012 1,1
K12 2012 2,2
K12 2012 3,2
K12 2013 1,0
K12 2013 2,0
K12 2013 3,0
K12 2014 1,0
K12 2014 2,0
K12 2014 3,0
K12 2015 1,0
K12 2015 2,0
K13 2006 1,1
K13 2006 2,1
K13 2006 3,1
K13 2006 4,0
K13 2006 5,1
K13 2007 1,0
K13 2007 2,0
K13 2007 3,0
K13 2008 1,0
K13 2008 2,0
K13 2008 3,0
K13 2009 1,1
K13 2009 2,0
K13 2009 3,0
K13 2010 1,0
K13 2010 2,0
K13 2010 3,0
K14 2006 1,0
K14 2006 2,0
K14 2006 3,0
K14 2006 4,0
K14 2006 5,0
K14 2007 1,1
K14 2007 2,1
K14 2007 3,0
K14 2008 1,1
K14 2008 2,2
K14 2008 3,0
K14 2009 1,0
K14 2009 2,0
K14 2009 3,0
K14 2010 1,0
K14 2010 2,0
K14 2010 3,0
K15 2006 1,0
K15 2006 2,0
K15 2006 3,0
K15 2006 4,0
K15 2006 5,0
K15 2007 1,0
K15 2007 2,0
K15 2007 3,0
K15 2008 1,1
K15 2008 2,1
K15 2008 3,0
K15 2009 1,0
K15 2009 2,0
K15 2009 3,0
K15 2010 1,0
K15 2010 2,0
K15 2010 3,0
K15 2011 1,1
K15 2011 2,1
K15 2011 3,0
K15 2012 1,0
K15 2012 2,0
K15 2012 3,0
K15 2013 1,1
